gid,NUMPOINTS,경도,위도
마마56ab01aa,0,129.219743,35.29342776
마마56ab01ab,0,129.2197907,35.29568099
마마56ab01ba,0,129.2198383,35.29793422
마마56ab01bb,0,129.219886,35.30018745
마마56ab02aa,0,129.2199337,35.30244068
마마56ab02ab,0,129.2199814,35.30469391
마마56ab02ba,0,129.2200291,35.30694714
마마56ab02bb,0,129.2200768,35.30920036
마마56ab03aa,0,129.2201245,35.31145359
마마56ab03ab,0,129.2201723,35.31370681
마마56ab03ba,0,129.22022,35.31596004
마마56ab03bb,0,129.2202677,35.31821326
마마56ab04aa,0,129.2203155,35.32046648
마마56ab04ab,0,129.2203632,35.3227197
마마56ab04ba,0,129.2204109,35.32497293
마마56ab04bb,0,129.2204587,35.32722614
마마56ab05aa,0,129.2205064,35.32947936
마마56ab05ab,0,129.2205542,35.33173258
마마56ab05ba,0,129.220602,35.3339858
마마56ab05bb,0,129.2206497,35.33623901
마마56ab06aa,0,129.2206975,35.33849223
마마56ab06ab,0,129.2207453,35.34074544
마마56ab06ba,0,129.2207931,35.34299866
마마56ab06bb,0,129.2208409,35.34525187
마마56ab07aa,0,129.2208887,35.34750508
마마56ab07ab,0,129.2209365,35.34975829
마마56ab07ba,0,129.2209843,35.3520115
마마56ab07bb,0,129.2210321,35.35426471
마마56ab08aa,0,129.2210799,35.35651792
마마56ab08ab,0,129.2211278,35.35877113
마마56ab08ba,0,129.2211756,35.36102433
마마56ab08bb,0,129.2212234,35.36327754
마마56ab09aa,0,129.2212713,35.36553074
마마56ab09ab,0,129.2213191,35.36778394
마마56ab09ba,0,129.221367,35.37003715
마마56ab09bb,0,129.2214148,35.37229035
마마56ab10aa,0,129.2214627,35.37454355
마마56ab10ab,0,129.2215106,35.37679675
마마56ab10ba,0,129.2215584,35.37904995
마마56ba00aa,1,129.2223003,35.28437571
마마56ba00ab,0,129.222348,35.28662895
마마56ba00ba,0,129.2223958,35.28888218
마마56ba00bb,0,129.2224435,35.29113541
마마56ba01aa,0,129.2224913,35.29338864
마마56ba01ab,0,129.222539,35.29564187
마마56ba01ba,0,129.2225868,35.2978951
마마56ba01bb,0,129.2226345,35.30014832
마마56ba02aa,0,129.2226823,35.30240155
마마56ba02ab,0,129.2227301,35.30465477
마마56ba02ba,0,129.2227779,35.306908
마마56ba02bb,0,129.2228256,35.30916122
마마56ba03aa,0,129.2228734,35.31141444
마마56ba03ab,0,129.2229212,35.31366767
마마56ba03ba,0,129.222969,35.31592089
마마56ba03bb,0,129.2230168,35.31817411
마마56ba04aa,0,129.2230647,35.32042733
마마56ba04ab,0,129.2231125,35.32268054
마마56ba04ba,0,129.2231603,35.32493376
마마56ba04bb,0,129.2232081,35.32718698
마마56ba05aa,0,129.2232559,35.32944019
마마56ba05ab,0,129.2233038,35.33169341
마마56ba05ba,0,129.2233516,35.33394662
마마56ba05bb,0,129.2233995,35.33619983
마마56ba06aa,0,129.2234473,35.33845305
마마56ba06ab,0,129.2234952,35.34070626
마마56ba06ba,0,129.2235431,35.34295947
마마56ba06bb,0,129.2235909,35.34521268
마마56ba07aa,0,129.2236388,35.34746589
마마56ba07ab,0,129.2236867,35.34971909
마마56ba07ba,0,129.2237346,35.3519723
마마56ba07bb,0,129.2237825,35.3542255
마마56ba08aa,0,129.2238304,35.35647871
마마56ba08ab,0,129.2238783,35.35873191
마마56ba08ba,0,129.2239262,35.36098512
마마56ba08bb,0,129.2239741,35.36323832
마마56ba09aa,0,129.224022,35.36549152
마마56ba09ab,0,129.2240699,35.36774472
마마56ba09ba,0,129.2241178,35.36999792
마마56ba09bb,0,129.2241658,35.37225112
마마56ba10aa,0,129.2242137,35.37450431
마마56ba10ab,0,129.2242617,35.37675751
마마56ba10ba,0,129.2243096,35.37901071
마마56ba10bb,0,129.2243576,35.3812639
마마56bb00aa,0,129.2250483,35.28433655
마마56bb00ab,0,129.2250961,35.28658978
마마56bb00ba,0,129.2251439,35.288843
마마56bb00bb,0,129.2251917,35.29109623
마마56bb01aa,0,129.2252395,35.29334946
마마56bb01ab,0,129.2252874,35.29560268
마마56bb01ba,0,129.2253352,35.29785591
마마56bb01bb,0,129.225383,35.30010913
마마56bb02aa,0,129.2254309,35.30236236
마마56bb02ab,0,129.2254787,35.30461558
마마56bb02ba,0,129.2255266,35.3068688
마마56bb02bb,0,129.2255745,35.30912202
마마56bb03aa,0,129.2256223,35.31137524
마마56bb03ab,0,129.2256702,35.31362846
마마56bb03ba,0,129.2257181,35.31588167
마마56bb03bb,0,129.225766,35.31813489
마마56bb04aa,0,129.2258138,35.32038811
마마56bb04ab,0,129.2258617,35.32264132
마마56bb04ba,0,129.2259096,35.32489454
마마56bb04bb,0,129.2259575,35.32714775
마마56bb05aa,0,129.2260054,35.32940096
마마56bb05ab,0,129.2260534,35.33165417
마마56bb05ba,0,129.2261013,35.33390738
마마56bb05bb,0,129.2261492,35.33616059
마마56bb06aa,0,129.2261971,35.3384138
마마56bb06ab,0,129.2262451,35.34066701
마마56bb06ba,0,129.226293,35.34292022
마마56bb06bb,0,129.226341,35.34517342
마마56bb07aa,0,129.2263889,35.34742663
마마56bb07ab,0,129.2264369,35.34967983
마마56bb07ba,0,129.2264848,35.35193303
