"인허가번호","시도","시군구","법정동","대지구분","번","지","허가구분","허가번호","허가일","관리기관","건축구분","대지위치","지목","대지면적___","건축면적___","건폐율___","연면적___","용적률산전용면적___","용적률___","건축물명칭","주용도","주건축물수","부속건축물수","주차장_자주식_옥내_대_","주차장_자주식_옥외_대_","주차장_자주식_인근_대_","주차장_기계식_옥내_대_","주차장_기계식_옥외_대_","주차장_기계식_인근_대_","주차장_면제_대_","착공구분","착공예정일","착공처리일","사용승인구분","사용승인일","동명칭","주용도_동_","대표용도_동_","세대수_동_","호수_동_","가구수_동_","주구조_동_","기타구조_동_","지붕구조_동_","건축면적_동____","연면적_동____","용적률산정용면적_동____","지하층수_동_","지상층수_동_","높이_m_","승용승강기수_동_","비상용승강기수_동_","건축주상호명","시공자_상호명","시공자_등록번호","설계자_사무소명","설계자_등록번호","감리자_사무소명","감리자_등록번호"
"26530-100067894","부산광역시","사상구","감전동","대지","0511","0008","신축허가","2020-건축과-신축허가-40","20200622","부산시사상구","신축","부산광역시 사상구 낙동대로 861-7 (감전동)","대",851.9,592.5,69.55,658.5,658.5,77.3,"감전동 511-8 공장 (김철)","공장",2,0,0,2,0,0,0,0,0,"착공","20200710","20200716",,,"주건축물제1동","공장","기타공장",0,0,0,"일반철골구조",,"기타지붕",526.5,526.5,526.5,0,1,12.03,"0","0",,"(주)한국종합건설","1618700188","아키21건축사사무소","6070657077","건축사사무소메인","6172652816"
"26530-100067894","부산광역시","사상구","감전동","대지","0511","0008","신축허가","2020-건축과-신축허가-40","20200622","부산시사상구","신축","부산광역시 사상구 낙동대로 861-7 (감전동)","대",851.9,592.5,69.55,658.5,658.5,77.3,"감전동 511-8 공장 (김철)","공장",2,0,0,2,0,0,0,0,0,"착공","20200710","20200716",,,"주건축물제2동","공장","기타공장",0,0,0,"철근콘크리트구조",,"(철근)콘크리트",66,132,132,0,3,10.4,"0","0",,"(주)한국종합건설","1618700188","아키21건축사사무소","6070657077","건축사사무소메인","6172652816"
"26530-100067895","부산광역시","사상구","삼락동","대지","0350","0023","신축허가","2020-건축과-신축허가-41","20200622","부산시사상구","신축",,"공장용지",397,276.52,69.65,1012.98,1012.98,255.16,"삼락동 350-6 공장 (황원석)","공장",1,0,0,3,0,0,0,0,0,"착공","20200708","20200708",,,"주건축물제1동","공장","기타공장",0,0,0,"일반철골구조",,"(철근)콘크리트",276.52,1012.98,1012.98,0,4,19.75,"1","0",,"제현건설(주)","3028112890","아키21건축사사무소","6070657077","아카데미건축사사무소",
"26530-100067975","부산광역시","사상구","감전동","대지","0946","0012","증축신고","2020-건축과-증축신고-7","20200630","부산시사상구","증축","부산광역시 사상구 낙동대로1016번길 54 (감전동)","창고용지",3950.6,1971.76,49.91,2478.68,2478.68,62.74,"감전동 946-12 창고시설 (롯데칠성음료주식회사)","창고시설",1,1,0,16,0,0,0,0,0,"착공","20200710","20200710","사용승인","20200722","부속건축물제1동","창고시설","일반창고",0,0,0,"경량철골구조",,"기타지붕",4.9,6.37,6.37,0,1,2.45,"0","0",,,"2148107770","올리브 건축사사무소","3682500044",,
"26530-100067994","부산광역시","사상구","모라동","대지","0727","0005","신축허가","2020-건축과-신축허가-44","20200701","부산시사상구","신축",,"대",1343.6,939.48,69.92,2390.92,2347.52,174.72,"모라동 727-5 자동차관련시설 (윤명균)","자동차관련시설",1,0,0,12,0,0,0,0,0,"착공","20200720","20200722",,,"주건축물제1동","자동차관련시설","정비학원",0,0,0,"일반철골구조",,"기타지붕",939.48,2390.92,2347.52,1,4,15.7,"0","0",,"(주)한국종합건설","1618700188","아키21건축사사무소","6070657077","원형건축사사무소",
"26530-100068014","부산광역시","사상구","모라동","대지","1030","0001","신축신고","2020-건축과-신축신고-23","20200702","부산시사상구","신축","부산광역시 사상구 모라로52번길 11 (모라동)","대",146,78.66,53.88,78.66,78.66,53.88,"모라동 1030-1 창고","창고시설",1,0,,,,,,,,"착공","20200706","20200708",,,"주건축물제1동","창고시설","일반창고",0,0,0,"경량철골구조","경량철골구조","기타지붕",78.66,78.66,78.66,0,1,4.2,"0","0",,,,"세영 건축사사무소","6060377384",,
"26530-100068034","부산광역시","사상구","괘법동","대지","0272","0026","증축허가","2020-건축과-증축허가-7","20200702","부산시사상구","증축","부산광역시 사상구 광장로81번길 55 (괘법동)","대",587.1,460,78.35,3186.73,3043.48,518.39,,"숙박시설",1,0,12,0,0,0,0,12,0,"착공","20200713","20200710",,,,"숙박시설","관광호텔",0,0,0,"일반철골구조","일반철골구조","기타지붕",0,444.43,444.43,1,8,29.15,"2","0",,"강한종합건설(주)","7688800778","(주)다담이엔지건축사사무소","5538801480","(주)다담이엔지건축사사무소","5538801480"
"26530-100068056","부산광역시","사상구","덕포동","대지","0352","0005","증축신고","2020-건축과-증축신고-8","20200706","부산시사상구","증축","부산광역시 사상구 모덕로96번길 41 (덕포동)","공장용지",342.3,239.17,69.87,362.5,362.5,105.9,"덕포동 352-5 공장","공장",1,0,1,0,0,0,0,1,0,"착공","20200710","20200713",,,,"공장","기타공장",0,0,0,"일반철골구조","일반철골구조","기타지붕",0,83.68,83.68,0,2,11.6,"0","0",,,,"신생 건축사사무소","6050939341",,
"26530-100068075","부산광역시","사상구","학장동","대지","0261","0027","증축허가","2020-건축과-증축허가-8","20200706","부산시사상구","증축","부산광역시 사상구 대동로 212 (학장동)","공장용지",991.8,692.75,69.85,1385.5,1385.5,139.7,"학장동 261-27 자동차관련시설 (정옥봉)","자동차관련시설",1,0,0,7,0,0,0,0,0,"착공","20200728","20200729",,,,"자동차관련시설","정비공장",0,0,0,"일반철골구조","일반철골구조","기타지붕",60.06,572.66,572.66,0,2,12,"0","0",,"일성종합건설(주)","8068800070","아키21건축사사무소","6070657077","거진건축사사무소",
"26530-100068214","부산광역시","사상구","덕포동","대지","0417","0001","대수선허가","2020-건축과-대수선허가-9","20200709","부산시사상구","대수선","부산광역시 사상구 삼덕로 46 (덕포동)","잡종지",485.9,337.49,69.46,674.98,674.98,138.91,,"자동차관련시설",1,0,0,4,0,0,0,0,0,"착공","20200716","20200713","사용승인","20200720","A동","자동차관련시설","정비공장",0,0,0,"일반철골구조","일반철골구조","기타지붕",337.49,674.98,674.98,0,2,11.7,"0","0",,,,"건축사사무소 예은","6210636189","건축사사무소 예은","6210636189"
"26530-100068314","부산광역시","사상구","삼락동","대지","0342","0020","증축신고","2020-건축과-증축신고-9","20200720","부산시사상구","증축","부산광역시 사상구 낙동대로1420번길 23 (삼락동)","공장용지",661.1,447.4,67.68,502.15,502.15,75.96,"삼락동 342-20 공장 (최정훈)","공장",2,0,,,,,,,,"착공","20200728","20200727",,,"A동","공장","기타공장",0,0,0,"일반철골구조","일반철골구조","기타지붕",0,11.75,11.75,0,2,18.2,"0","0",,,,"건축사사무소 동림","6060377536",,
"26710-100091828","부산광역시","기장군","장안읍 월내리","대지","0554","0022","증축신고","2018-창조건축과-증축신고-46","20180627","부산시기장군","증축","부산광역시 기장군 해맞이로 270 (장안읍)","대",1105,208.9,18.91,349.55,349.55,31.63,"장안읍 월내리 554-22 제2종근린생활시설 (박종근)","제2종근린생활시설",1,1,0,2,0,0,0,0,0,"착공","20200527","20200603",,,"1동","제2종근린생활시설","일반음식점",0,0,0,"경량철골구조","조립식구조","기타지붕",208.9,84.6,84.6,0,2,3,"0","0",,,,"일탑 건축사사무소","6180226431",,
