"인허가번호","시도","시군구","법정동","대지구분","번","지","허가구분","허가번호","허가일","관리기관","건축구분","대지위치","지목","대지면적___","건축면적___","건폐율___","연면적___","용적률산전용면적___","용적률___","건축물명칭","주용도","주건축물수","부속건축물수","주차장_자주식_옥내_대_","주차장_자주식_옥외_대_","주차장_자주식_인근_대_","주차장_기계식_옥내_대_","주차장_기계식_옥외_대_","주차장_기계식_인근_대_","주차장_면제_대_","착공구분","착공예정일","착공처리일","사용승인구분","사용승인일","동명칭","주용도_동_","대표용도_동_","세대수_동_","호수_동_","가구수_동_","주구조_동_","기타구조_동_","지붕구조_동_","건축면적_동____","연면적_동____","용적률산정용면적_동____","지하층수_동_","지상층수_동_","높이_m_","승용승강기수_동_","비상용승강기수_동_","건축주상호명","시공자_상호명","시공자_등록번호","설계자_사무소명","설계자_등록번호","감리자_사무소명","감리자_등록번호"
"26110-100027575","부산광역시","중구","중앙동4가","대지","0090","0009","협의건축물","2018-창조건축과-협의건축물-1","20180115","부산시중구","신축",,"철도용지",6904.6,2050.79,29.7018,9792.56,6750.47,97.7677,"업무시설","업무시설",1,2,128,0,0,0,0,128,0,"착공","20200601","20200609",,,"주건축물제1동","업무시설","국가기관청사",0,0,0,"철근콘크리트구조",,"(철근)콘크리트",1931.57,9673.34,6631.25,2,5,26.9,"2","0",,"신수건설 주식회사","1248639144","(주)유선엔지니어링건축사사무소","1208197884","(주)동우이앤씨","5028123570"
"26110-100027575","부산광역시","중구","중앙동4가","대지","0090","0009","협의건축물","2018-창조건축과-협의건축물-1","20180115","부산시중구","신축",,"철도용지",6904.6,2050.79,29.7018,9792.56,6750.47,97.7677,"업무시설","업무시설",1,2,128,0,0,0,0,128,0,"착공","20200601","20200609",,,"부속건축물제2동","업무시설","국가기관청사",0,0,0,"철근콘크리트구조",,"(철근)콘크리트",106.08,106.08,106.08,0,1,4,"0","0",,"신수건설 주식회사","1248639144","(주)유선엔지니어링건축사사무소","1208197884","(주)동우이앤씨","5028123570"
"26110-100027575","부산광역시","중구","중앙동4가","대지","0090","0009","협의건축물","2018-창조건축과-협의건축물-1","20180115","부산시중구","신축",,"철도용지",6904.6,2050.79,29.7018,9792.56,6750.47,97.7677,"업무시설","업무시설",1,2,128,0,0,0,0,128,0,"착공","20200601","20200609",,,"부속건축물제3동","업무시설","국가기관청사",0,0,0,"철근콘크리트구조",,"(철근)콘크리트",13.14,13.14,13.14,0,1,4.75,"0","0",,"신수건설 주식회사","1248639144","(주)유선엔지니어링건축사사무소","1208197884","(주)동우이앤씨","5028123570"
"26110-100030316","부산광역시","중구","보수동3가","대지","0061","0019","신축허가","2019-재생건축과-신축허가-3","20190411","부산시중구","신축","부산광역시 중구 흑교로59번길 16-12 (보수동3가)","대",369,246.25,66.73,2907.73,2744.62,743.8,"보수동3가 61-19 (주식회사에이치더블유)","업무시설",1,0,2,0,0,34,0,2,0,"착공","20200626","20200626",,,"주건축물제1동","업무시설","오피스텔",0,33,0,"철근콘크리트구조","철근콘크리트조","(철근)콘크리트",246.25,2907.73,2744.62,1,15,47.6,"0","1",,"한웅건설(주)","6038161727","(주)비전21 건축사사무소","6078159432","(주)제이비 건축사사무소","4758101177"
"26110-100032657","부산광역시","중구","영주동","대지","0074","0002","신축허가","2020-재생건축과-신축허가-1","20200302","부산시중구","신축","부산광역시 중구 동영로93번길 4-1 (영주동)","대",217.2,124.8,57.46,462.08,462.08,212.74,,"단독주택",1,0,0,8,0,0,0,0,0,"착공","20200615","20200603",,,"주건축물제1동","단독주택","다가구주택",0,4,12,"철근콘크리트구조","철근콘크리트구조","(철근)콘크리트",124.8,462.08,462.08,0,6,19.85,"1","0",,"정우종합건설(주)","3078146129","(주)심지건축 종합건축사사무소","6078614314","(주)심지건축 종합건축사사무소","6078614314"
"26110-100032856","부산광역시","중구","영주동","대지","0642","0001","신축허가","2020-재생건축과-신축허가-3","20200327","부산시중구","신축","부산광역시 중구 대영로226번안길 5 (영주동)","대",178.5,140.76,78.86,1321.86,1210.79,678.31,,"업무시설",1,0,1,0,0,16,0,1,0,"착공","20200619","20200629",,,"주건축물제1동","업무시설","오피스텔",0,34,0,"철근콘크리트구조",,"(철근)콘크리트",140.76,1321.86,1321.86,0,11,32.1,"1","0",,"(주)퍼스트종합건설","2338801607","에이텍건축사사무소","3425300201","수만채건축사사무소","6052525828"
"26110-100033016","부산광역시","중구","대청동1가","대지","0030","0002","신축신고","2020-재생건축과-신축신고-1","20200422","부산시중구","신축",,"대",79.3,63.24,79.75,78.24,78.24,98.66,"대청동1가 30-2 제2종근린생활시설 (공천운)","제2종근린생활시설",1,0,0,1,0,0,0,0,0,"착공","20200608","20200608",,,"주건축물제1동","제2종근린생활시설","사무소",0,0,0,"철근콘크리트구조","철근콘크리트조","(철근)콘크리트",63.24,78.24,78.24,0,2,6.6,"0","0",,,,"(주)조양 종합건축사사무소","6078161210",,
"26110-100033136","부산광역시","중구","중앙동1가","대지","0022","0002","신축허가","2020-재생건축과-신축허가-6","20200512","부산시중구","신축",,"대",197.94,156.62,79.125,817.59,764.72,386.3393,"중앙동1가 22-2 숙박시설 (노진수)","숙박시설",1,0,,,,,,,,"착공","20200723","20200727",,,"주건축물제1동","숙박시설","호스텔",0,0,0,"철근콘크리트구조",,"(철근)콘크리트",156.62,817.59,764.72,1,5,20.5,"1","0",,"(주)경덕건설","6228125737","건축사사무소 엠오씨","7397700148","건축사사무소 엠오씨","7397700148"
"26110-100033156","부산광역시","중구","보수동1가","대지","0028","0003","신축허가","2020-재생건축과-신축허가-7","20200514","부산시중구","신축","부산광역시 중구 보수대로140번길 46-1 (보수동1가)","대",244.4,145.9,59.6972,580.42,580.42,237.4877,"보수동1가 28-3 공동주택 (권태오)","공동주택",1,0,7,0,0,0,0,7,0,"착공","20200624","20200626",,,"주건축물제1동","공동주택","다세대주택",12,0,0,"철근콘크리트구조",,"(철근)콘크리트",145.9,580.42,580.42,0,5,16.05,"1","0",,"석홍종합건설(주)","6058181277","종합건축사사무소 비앤비",,"도흥건축사사무소","3431400826"
"26110-100033376","부산광역시","중구","창선동2가","대지","0046","0003","대수선허가","2020-재생건축과-대수선허가-7","20200610","부산시중구","대수선","부산광역시 중구 광복로 34-1 (창선동2가)","대",181.8,145.22,79.88,770.6,623.36,342.89,"창선동2가 46-3 제2종근린생활시설 (전혜정)","제2종근린생활시설",1,0,,,,,,,,"착공","20200730","20200730",,,,"제1종근린생활시설","기타제1종근린생활시설",0,0,0,"철근콘크리트구조","철근콘크리트","(철근)콘크리트",0,0,0,1,5,16,"1","0",,"(주)청인종합건설","8948601408","성우ACE종합건축사사무소","6071673848",,
"26140-100034936","부산광역시","서구","동대신동2가","대지","0253","0009","신축허가","2019-건축과-신축허가-9","20190725","부산시서구","신축","부산광역시 서구 구덕로322번길 68 (동대신동2가)","대",495,240.36,48.56,1531.34,1478.3,298.65,"동대신동2가 253-9 주상복합신축공사","공동주택",1,0,0,7,0,19,0,0,0,"착공","20200713","20200714",,,"주건축물제1동","업무시설","오피스텔",18,34,0,"철근콘크리트구조",,"(철근)콘크리트",240.36,1531.34,1478.3,0,9,30.9,"1","0",,"전원종합건설(주)","6078153821","도경건축사사무소","2771101129","(주)대방건축사사무소","6028154640"
"26140-100036916","부산광역시","서구","동대신동3가","대지","0034","0006","신축허가","2020-건축과-신축허가-7","20200513","부산시서구","신축","부산광역시 서구 보수대로258번가길 22 (동대신동3가)","대",207,123.92,59.8647,454.79,454.79,219.7053,"동대신동3가 34-6 업무시설 ((주)세하엘리베이터)","업무시설",1,0,0,8,0,0,0,0,0,"착공","20200601","20200602",,,"주건축물제1동","업무시설","오피스텔",0,14,0,"철근콘크리트구조",,"(철근)콘크리트",123.92,454.79,454.79,0,5,14.2,"1","0",,"라진건설(주)","8308100550","부강 건축사사무소","6190135877","(주)아키드림이엔지건축사사무소","6068654517"
"26140-100037016","부산광역시","서구","토성동5가","대지","0022","0009","신축허가","2020-건축과-신축허가-8","20200519","부산시서구","신축",,"대",240.07,190.86,79.5,1782.02,1730.34,720.76,"토성동5가 23-16 업무시설 신축공사","업무시설",0,0,1,0,0,26,0,1,0,"착공","20200724","20200729",,,"주건축물제1동","업무시설","오피스텔",0,51,0,"철근콘크리트구조",,"(철근)콘크리트",190.86,1782.02,1730.34,0,12,40.1,"1","0",,"전원종합건설(주)","6078153821","주식회사 종합건축사사무소 세온","6178621317","제우건축사사무소","6051730777"
"26140-100037036","부산광역시","서구","서대신동2가","대지","0003","0012","신축허가","2020-건축과-신축허가-10","20200521","부산시서구","신축","부산광역시 서구 구덕로321번길 11 (서대신동2가)","대",172.5,137.46,79.69,399.04,399.04,231.33,"서대신동2가 3-12 제1종근린생활시설 (김효병)","제1종근린생활시설",1,0,0,2,0,0,0,0,0,"착공","20200610","20200617",,,"주건축물제1동","제1종근린생활시설","휴게음식점",0,0,0,"철근콘크리트구조",,"(철근)콘크리트",137.46,399.04,399.04,0,4,15.3,"1","0",,"인우종합건설(주)","6078611734","아키21건축사사무소","6070657077","유승건축사사무소","6170888891"
"26140-100037056","부산광역시","서구","동대신동3가","대지","0063","0179","신축허가","2020-건축과-신축허가-11","20200527","부산시서구","신축","부산광역시 서구 망양로111번길 22 (동대신동3가)","대",309,183.32,59.33,817,639.82,207.06,"동대신동3가 63-179 공동주택 (조정희)","공동주택",1,0,11,0,0,0,0,11,0,"착공","20200616","20200618",,,"주건축물제1동","공동주택","다세대주택",22,0,0,"철근콘크리트구조",,"(철근)콘크리트",183.32,817,639.82,1,5,11.7,"1","0",,"(주)지앤종합건설","6178157222","주식회사 종합건축사사무소 세온","6178621317","인플랜건축사사무소","6051356575"
"26140-100037176","부산광역시","서구","부민동1가","대지","0018","0022","신축신고","2020-건축과-신축신고-3","20200611","부산시서구","신축","부산광역시 서구 구덕로214번길 4 (부민동1가)","대",62.8,35.06,70.83,35.06,35.06,70.83,"부민동1가 18-22 (박병찬)","제1종근린생활시설",1,0,,,,,,,,"착공","20200701","20200702",,,"주건축물제1동","제1종근린생활시설","세탁소",0,0,0,"경량철골구조",,"기타지붕",35.06,35.06,35.06,0,1,3.9,"0","0",,,,"(주)호원종합건축사사무소","6058170130","(주)호원종합건축사사무소","6058170130"
"26140-100037216","부산광역시","서구","암남동","대지","0759","0000","증축허가","2020-건축과-증축허가-6","20200622","부산시서구","증축",,"대",5662,2288.192,40.41,13520.245,10620.295,187.57,"암남동 759-1 의료시설 (의료법인장원)","의료시설",3,0,48,23,0,0,0,48,0,"착공","20200727","20200728",,,"3동","의료시설","요양병원",0,0,0,"일반철골구조",,"(철근)콘크리트",143.55,287.1,0,0,3,12.45,"0","0",,"신진종합건설(주)","4308800062","이영건축사사무소","6070657650","건축사사무소 아키원",
"26140-100037238","부산광역시","서구","부민동3가","대지","0019","0013","증축신고","2020-건축과-증축신고-5","20200625","부산시서구","증축","부산광역시 서구 임시수도기념로 48-3 (부민동3가)","대",398.9,238.96,59.9047,722.08,722.08,181.0178,"도시형주택샘터","공동주택",2,0,0,8,0,0,0,0,0,"착공","20200715","20200713",,,"2동","제2종근린생활시설","사무소",0,1,0,"경량철골구조",,"기타지붕",16.2,16.2,16.2,0,1,5.55,"0","0",,,"6039161406","도반건축사사무소","6051494601",,
"26170-100030031","부산광역시","동구","수정동","대지","0389","0020","신축허가","2017-건축과-신축허가-14","20170517","부산시동구","신축","부산광역시 동구 초량중로127번길 12-1 (수정동)","대",1009.4,614.024,60.83,9645.246,8382.235,830.42,"수정동 00 주상복합","공동주택",1,0,24,0,0,82,0,24,0,"착공","20200513","20200713",,,"주건축물제1동","공동주택","아파트",105,75,0,"철근콘크리트구조",,"(철근)콘크리트",614.024,9645.246,8382.235,2,19,53.85,"0","2",,"(주)동하건설","4198800013","(주)미성건축사사무소","5848700358","(주)미성건축사사무소","5848700358"
"26170-100038798","부산광역시","동구","수정동","대지","0518","0001","협의건축물","2020-건축과-협의건축물-2","20200420","부산시동구","증축","부산광역시 동구 수성로 21 (수정동)","대",1426,663.85,46.55,1910.57,1415.33,99.25,"글로벌 영어체험 도서관 및 공영주차장","제1종근린생활시설",2,0,,,,,,,,"착공","20200608","20200608",,,"1","제1종근린생활시설","공공도서관",0,0,0,"철근콘크리트구조","철근콘크리트구조","(철근)콘크리트",0,13,13,1,3,18.1,"1","0",,"(주)계명종합건설","6178173125","종합건축사사무소그룹영남 주식회사","6058633810",,
"26170-100038998","부산광역시","동구","수정동","대지","0410","0039","신축허가","2020-건축과-신축허가-8","20200519","부산시동구","신축","부산광역시 동구 수정공원북로 17-1 (수정동)","대",91.49,48.47,52.9785,161.56,107.3,117.2806,"수정동 410-39 단독주택 (박병환)","단독주택",1,0,3,0,0,0,0,3,0,"착공","20200615","20200610",,,"주건축물제1동","단독주택","다가구주택",0,0,3,"철근콘크리트구조",,"(철근)콘크리트",48.47,161.56,107.3,1,3,14.4,"0","0",,"(주)도시건설","7388801096","대명건축사사무소","6050946518","한솔 건축사사무소","6040234572"
"26170-100039038","부산광역시","동구","범일동","대지","0612","0018","신축신고","2020-건축과-신축신고-2","20200526","부산시동구","신축","부산광역시 동구 범일로 76-2 (범일동)","대",127,93.84,73.89,93.84,93.84,73.89,,"제1종근린생활시설",1,0,,,,,,,,"착공","20200615","20200616",,,"주건축물제1동","제1종근린생활시설","소매점",0,0,0,"철근콘크리트구조",,"(철근)콘크리트",93.84,93.84,93.84,0,1,5.83,"0","0",,"신연건설(주)","6058197672","경풍설계종합건축사사무소","6070662982",,
"26170-100039078","부산광역시","동구","초량동","대지","1164","0003","증축허가","2020-건축과-증축허가-2","20200609","부산시동구","증축","부산광역시 동구 중앙대로 282 (초량동)","대",318.3,167.88,52.74,468.84,468.84,147.3,"초량동 1164-3 제2종근린생활시설 (이순규)","제2종근린생활시설",1,0,0,2,0,0,0,0,0,"착공","20200617","20200625",,,,"제1종근린생활시설","소매점",0,0,0,"일반철골구조","일반철골구조","기타지붕",17.4,136.2,136.2,0,3,12.6,"0","0",,,,"건축사 사무소 터","6063336681","건축사사무소 공감","6173091382"
"26170-100039438","부산광역시","동구","초량동","대지","1210","0005","증축허가","2020-건축과-증축허가-3","20200721","부산시동구","증축","부산광역시 동구 중앙대로 175 (초량동)","대",846.7,669.21,79.04,1377.95,1377.95,162.74,"초량동 1210-5 제2종근린생활시설 ((주)유니스)","제2종근린생활시설",1,0,0,7,0,0,0,0,0,"착공","20200730","20200730",,,"하이디라오워궈 부산역점","제2종근린생활시설","일반음식점",0,0,0,"일반철골구조","일반철골구조","(철근)콘크리트",669.21,1377.95,1377.95,0,3,16.2,"1","0",,,"6058171634","건축사사무소 기단","6030773674","아키펌이강주 건축사사무소","6070664296"
"26200-100034430","부산광역시","영도구","남항동2가","대지","0065","0022","신축허가","2018-건축과-신축허가-16","20180808","부산시영도구","신축",,"대",513,347.88,67.81,2383.49,2049.39,399.49,"남항동2가 65-22 공장 (대신아이브(주))","공장",0,0,7,0,0,0,0,7,0,"착공","20200525","20200603",,,"주건축물제1동","공장","기타공장",0,0,0,"일반철골구조",,"(철근)콘크리트",347.88,2383.49,2049.39,1,8,46,"1","0",,"(주)에이스파트너스","6038180480","종합건축사사무소 삼원",,"(주)건축사사무소자성","6038127734"
"26200-100038292","부산광역시","영도구","영선동4가","대지","0001","0001","신축허가","2019-건축과-신축허가-18","20191010","부산시영도구","신축",,"공장용지",1008.2,405.15,40.19,5287.63,4836.52,474.72,,"업무시설",1,0,0,9,0,70,0,0,0,"착공","20200608","20200717",,,"주건축물제1동","업무시설","오피스텔",0,95,0,"철근콘크리트구조",,"(철근)콘크리트",405.15,5287.63,4786.12,1,15,50.4,"1","1",,"(주)고구려씨앤디","6178170808","(주)다전엔지니어링건축사사무소","6178613215","주식회사선명아미텍건축사사무소","1548101208"
"26200-100040076","부산광역시","영도구","청학동","대지","0077","0012","신축허가","2020-건축과-신축허가-8","20200422","부산시영도구","신축",,"잡종지",303,181.63,59.9439,586.9,436.82,144.165,,"단독주택",1,0,4,0,0,0,0,4,0,"착공","20200608","20200609",,,"주건축물제1동","단독주택","다가구주택",0,0,3,"철근콘크리트구조","철근콘크리트구조","(철근)콘크리트",181.63,586.9,436.82,0,4,11.55,"0","0",,"엠에이치종합건설(주)","3638801494","주식회사 네오종합건축사사무소","8328701159","건축사사무소 전이공간","6060714766"
"26200-100040255","부산광역시","영도구","청학동","대지","0469","0005","신축신고","2020-건축과-신축신고-6","20200522","부산시영도구","신축",,"대",421,78.775,18.7114,99.075,99.075,23.5333,"청학동 469-5 단독주택 (성영숙)","단독주택",1,0,1,0,0,0,0,1,0,"착공","20200605","20200609",,,"A동","단독주택","단독주택",0,0,1,"스틸하우스조",,"기타지붕",37.5,57.8,57.8,0,2,8.2,"0","0",,,,"삼우건축사사무소",,,
"26200-100040255","부산광역시","영도구","청학동","대지","0469","0005","신축신고","2020-건축과-신축신고-6","20200522","부산시영도구","신축",,"대",421,78.775,18.7114,99.075,99.075,23.5333,"청학동 469-5 단독주택 (성영숙)","단독주택",1,0,1,0,0,0,0,1,0,"착공","20200605","20200609",,,"B동","단독주택","단독주택",0,0,0,"철근콘크리트구조",,"(철근)콘크리트",41.275,41.275,41.275,0,1,6.2,"0","0",,,,"삼우건축사사무소",,,
"26200-100040315","부산광역시","영도구","청학동","대지","0321","0012","신축허가","2020-건축과-신축허가-12","20200601","부산시영도구","신축","부산광역시 영도구 해양로 36-3 (청학동)","대",822,458.32,55.76,4403.73,3874.03,471.29,"청학동 321-12 숙박시설 ((주)민송건설)","숙박시설",1,0,16,14,0,0,0,16,0,"착공","20200710","20200714",,,"주건축물제1동","숙박시설","관광호텔",0,52,0,"철근콘크리트구조",,"(철근)콘크리트",458.32,4403.73,3874.03,1,10,27.2,"2","0",,"부연종합건설(주)","3828101685","건축사사무소 보림","6050945407","건축사사무소 보림","6050945407"
"26200-100040415","부산광역시","영도구","남항동1가","대지","0158","0001","신축허가","2020-건축과-신축허가-15","20200603","부산시영도구","신축",,"대",120,92.04,76.7,276.65,276.65,230.54,"남항동1가 158-1 제1종근린생활시설 (천지대안도(김태순))","제2종근린생활시설",1,0,0,2,0,0,0,0,0,"착공","20200612","20200615",,,"주건축물제1동","단독주택","단독주택",0,0,1,"철근콘크리트구조",,"(철근)콘크리트",92.04,276.65,276.65,0,4,12.3,"0","0",,"주식회사태경종합건설","3368101533","태산 건축사사무소","6211504753","건축사사무소 시엘","6172131081"
"26200-100040417","부산광역시","영도구","영선동2가","대지","0151","0002","신축허가","2020-건축과-신축허가-17","20200603","부산시영도구","신축","부산광역시 영도구 영선대로 74-9 (영선동2가)","대",139,68.9,49.5683,163.39,163.39,117.5468,"영선동2가 151-2 단독주택 (장양선)","단독주택",1,0,2,0,0,0,0,2,0,"착공","20200608","20200616",,,"주건축물제1동","단독주택","다가구주택",0,0,2,"철근콘크리트구조","철근콘크리트조","(철근)콘크리트",68.9,163.39,163.39,0,4,11.9,"0","0",,"솔터건설(주)","3548601477","건축사사무소 건일","6070662871","가감승제 건축사사무소","6173752622"
"26200-100040435","부산광역시","영도구","봉래동3가","대지","0110","0001","증축허가","2020-건축과-증축허가-7","20200605","부산시영도구","증축","부산광역시 영도구 대교로 12-1 (봉래동3가)","대",105.3,83.99,79.76,198.72,198.72,188.72,"봉래동3가 110-1 제2종근린생활시설 (문유정)","제2종근린생활시설",1,0,,,,,,,,"착공","20200615","20200623",,,,"제1종근린생활시설","의원",0,0,0,"철근콘크리트구조","철근콘크리트구조","(철근)콘크리트",65.54,65.54,65.54,0,3,10.4,"0","0",,,,"우림건축사사무소",,"우림 건축사사무소",
"26200-100040475","부산광역시","영도구","대교동1가","대지","0179","0007","신축신고","2020-건축과-신축신고-7","20200612","부산시영도구","신축","부산광역시 영도구 태종로65번길 12 (대교동1가)","대",78.68,62.9,79.94,62.9,62.9,79.94,"대교동1가 179-7 제2종근린생활시설 (김경자)","제2종근린생활시설",1,0,,,,,,,,"착공","20200626","20200626",,,"주건축물제1동","제2종근린생활시설","일반음식점",0,0,0,"경량철골구조",,"기타지붕",62.9,62.9,62.9,0,1,4.75,"0","0",,,,"우림 건축사사무소",,,
"26200-100040515","부산광역시","영도구","동삼동","대지","0201","0103","신축허가","2020-건축과-신축허가-18","20200616","부산시영도구","신축",,"공장용지",661,461.69,69.8472,575.4,575.4,87.0499,"동삼동 201-103 공장 (비엠케이마린주식회사)","공장",1,0,0,2,0,0,0,0,0,"착공","20200630","20200630",,,"주건축물제1동","공장","물품 제조공장",0,0,0,"일반철골구조",,"기타지붕",461.69,575.4,575.4,0,2,12.3,"0","0",,"엠디건설(주)","8888700401","삼우건축사사무소","6052364297","HY건축사사무소","6094205194"
"26200-100040516","부산광역시","영도구","동삼동","대지","0201","0106","신축허가","2020-건축과-신축허가-19","20200616","부산시영도구","신축",,"공장용지",657,458.95,69.8554,573.345,573.345,87.2671,"동삼동 201-106 공장 (에이치앤디솔루션스주식회사)","공장",0,0,0,2,0,0,0,0,0,"착공","20200630","20200630",,,"주건축물제1동","공장","물품 제조공장",0,0,0,"일반철골구조",,"기타지붕",458.95,573.345,573.345,0,2,12.3,"0","0",,"엠디건설(주)","8888700401","삼우건축사사무소","6052364297","재성종합건축사사무소","6052047036"
"26200-100040655","부산광역시","영도구","청학동","대지","0322","0004","증축허가","2020-건축과-증축허가-9","20200702","부산시영도구","증축","부산광역시 영도구 해양로 28 (청학동)","공장용지",344,240.43,69.89,274.43,274.43,79.78,"청학동 322-4 공장 (신인혜)","공장",1,0,0,1,0,0,0,0,0,"착공","20200713","20200710",,,,"창고시설","일반창고",0,0,0,"일반철골구조","일반철골구조","기타지붕",193.47,206.43,206.43,0,2,7.4,"0","0",,"(주)미성종합건설","1388195266","(주)세움건축사사무소","6178189189","(주)종합건축사사무소 마루","6058630550"
"26200-100040675","부산광역시","영도구","청학동","대지","0423","0020","대수선신고","2020-건축과-대수선신고-1","20200703","부산시영도구","대수선","부산광역시 영도구 청학서로 4 (청학동)","대",83.36,53.55,64.2394,53.55,53.55,64.2394,,"단독주택",1,0,,,,,,,,"착공","20200709","20200714",,,,"단독주택","단독주택",0,0,1,"기타조적구조","조적조","기타지붕",53.55,53.55,53.55,0,1,4.44,"0","0",,,,"건축사사무소 가감승제","6173650461",,
"26200-100040735","부산광역시","영도구","청학동","대지","0217","0079","증축신고","2020-건축과-증축신고-1","20200709","부산시영도구","증축","부산광역시 영도구 해양로65번길 35 (청학동)","공장용지",846,530.4,62.695,772.4,772.4,91.3002,,"창고시설",3,0,,,,,,,,"착공","20200715","20200715",,,"씨에스수산C동","창고시설","일반창고",0,0,0,"조립식판넬조",,"기타지붕",38.88,38.88,38.88,0,1,5.15,"0","0",,"주식회사씨에스수산","7948100031","삼우건축사사무소","6052364297",,
"26200-100040775","부산광역시","영도구","동삼동","대지","0201","0090","신축허가","2020-건축과-신축허가-21","20200714","부산시영도구","신축",,"공장용지",661,459.88,69.5734,1111.12,1111.12,168.0968,"동삼동 201-90 공장 (주식회사현대마린테크)","공장",1,0,0,3,0,0,0,0,0,"착공","20200718","20200724",,,"주건축물제1동","공장","물품 제조공장",0,0,0,"일반철골구조",,"기타지붕",459.88,1111.12,1111.12,0,3,15.9,"0","0",,"엠디건설(주)","8888700401","삼우건축사사무소","6052364297","(주)종합건축사사무소디엔지","6078178142"
"26230-100079112","부산광역시","부산진구","개금동","대지","0523","0038","신축허가","2019-건축과-신축허가-28","20190410","부산시부산진구","신축",,"대",211,168.63,79.91,972.76,972.76,461.02,,"숙박시설",1,0,7,0,0,0,0,7,0,"착공","20200713","20200707",,,"주건축물제1동","숙박시설","생활숙박시설",0,31,0,"철근콘크리트구조",,"(철근)콘크리트",168.63,972.76,972.76,0,8,25.6,"1","0",,"기해종합건설(주)","6068625797","(주)비전21 건축사사무소","6078159432","지구 건축사사무소","6070664511"
"26230-100084613","부산광역시","부산진구","전포동","대지","0305","0002","신축허가","2019-건축과-신축허가-86","20191213","부산시부산진구","신축","부산광역시 부산진구 서전로68번길 26 (전포동)","대",235,117.08,49.82,332.7339,332.7339,141.59,"전포동 305-2 단독주택","단독주택",0,0,0,4,0,0,0,0,0,"착공","20200603","20200612",,,"주건축물제1동","단독주택","다가구주택",0,0,12,"철근콘크리트구조",,"(철근)콘크리트",117.08,332.7339,332.7339,0,3,8.988,"0","0",,"지엘건설(주)","2148852901","A.N종합건축사사무소",,"(주)동인설계건축사사무소","7798801189"
"26230-100084632","부산광역시","부산진구","가야동","대지","0559","0001","신축허가","2019-건축과-신축허가-87","20191213","부산시부산진구","신축","부산광역시 부산진구 가야대로548번길 116-8 (가야동)","대",218,121.15,55.57,871.27,786.89,360.96,"가야동 559-1 업무시설 (최민호)","업무시설",0,0,1,0,0,12,0,1,0,"착공","20200514","20200609",,,"주건축물제1동","업무시설","오피스텔",16,10,0,"철근콘크리트구조",,"(철근)콘크리트",121.15,871.27,786.89,1,9,35.4,"1","0",,"한다종합건설(주)","6038170963","주식회사 종합건축사사무소 세온","6178621317","건축사사무소건영","6070664447"
"26230-100084692","부산광역시","부산진구","부전동","대지","0504","0003","신축허가","2019-건축과-신축허가-88","20191217","부산시부산진구","신축","부산광역시 부산진구 부전로 77 (부전동)","대",303.5,231.72,76.35,2994.32,2762.43,910.19,"누네빛타워","제1종근린생활시설",1,0,0,1,0,0,20,0,0,"착공","20200701","20200624",,,"부전동N빌딩","제1종근린생활시설","의원",0,13,0,"철근콘크리트구조",,"(철근)콘크리트",231.72,2994.32,2762.43,1,13,48.7,"1","0",,"금상건설(주)","6058142202","건축사사무소 아익","6052728469","건축사사무소 아익","6052728469"
"26230-100084774","부산광역시","부산진구","부전동","대지","0423","0003","신축허가","2019-건축과-신축허가-90","20191219","부산시부산진구","신축","부산광역시 부산진구 부전로95번길 32 (부전동)","대",270.7,186.71,68.97,1998.91,1859.09,686.77,"부전동 423-3 업무시설 (김재영)","공동주택",1,0,2,0,0,30,0,2,0,"착공","20200518","20200616",,,"주건축물제1동","업무시설","오피스텔",18,46,0,"철근콘크리트구조",,"(철근)콘크리트",186.71,1998.91,1859.09,1,14,41.2,"1","0",,"뉴세종종합건설(주)","6178622621","도경건축사사무소","2771101129","종합건축사사무소태영","6070659454"
"26230-100085052","부산광역시","부산진구","초읍동","대지","0276","0009","신축허가","2019-건축과-신축허가-93","20191231","부산시부산진구","신축","부산광역시 부산진구 성지로153번길 55 (초읍동)","대",198.5,112.52,56.69,280.74,280.74,141.43,"초읍동 276-9 공공임대주택","단독주택",1,0,3,0,0,0,0,3,0,"착공","20200605","20200612",,,"주건축물제1동","단독주택","다가구주택",0,0,10,"철근콘크리트구조",,"(철근)콘크리트",112.52,280.74,280.74,0,4,12,"0","0",,"지엘건설(주)","2148852901","도홍 건축사사무소","6210532828","(주)도건건축사사무소","6058196620"
"26230-100085414","부산광역시","부산진구","부전동","대지","0140","0007","신축허가","2020-건축과-신축허가-2","20200116","부산시부산진구","신축","부산광역시 부산진구 서전로 3 (부전동)","대",525.2,385.86,73.4692,5830.91,5239.97,997.7094,"부전동 복합빌딩","의료시설",1,0,2,0,0,47,0,2,0,"착공","20200604","20200604",,,"주건축물제1동","의료시설","치과병원",0,0,0,"철근콘크리트구조",,"(철근)콘크리트",385.86,5830.91,5239.97,2,18,74.5,"2","1",,"(주)대성건설","6228101701","도홍 건축사사무소","6210532828","도홍 건축사사무소","6210532828"
